count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_ref,H_R_W_00,H_R_W_01,H_R_W_02,H_R_W_10,H_R_W_11,H_R_W_12,H_R_W_20,H_R_W_21,H_R_W_22,H_R_IMU_00,H_R_IMU_01,H_R_IMU_02,H_R_IMU_10,H_R_IMU_11,H_R_IMU_12,H_R_IMU_20,H_R_IMU_21,H_R_IMU_22,lin_acc_H_x,lin_acc_H_y,lin_acc_H_z,ang_vel_H_x,ang_vel_H_y,ang_vel_H_z
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.011776195887665208,0.9999306614065292,-0.011775923704787247,0.0,0.011775923704787247,0.9999306614065292,0.0,0.0,0.0,1.0,0.9999306614065292,-0.011775923704787247,0.0,0.011775923704787247,0.9999306614065292,0.0,0.0,0.0,1.0,-6.783747909539582,-0.0796510872734509,-7.194059458419369,0.0,0.0,0.0
0.002,0.0025,0.999999974001138,2.766901594491762e-09,0.00022803009177471312,-1.9842372311543363e-08,-3.9683485844581274e-08,-3.9683485844581274e-08,-0.011805596943362306,0.9999303147497595,-0.011805322716762576,0.0,0.011805322716762576,0.9999303147497595,0.0,0.0,0.0,1.0,0.9999302112300364,-0.011805283033522632,0.00045602845646024247,0.011805281808346408,0.9999303152182648,5.378395038983388e-06,-0.00045606017169249035,5.52475372915248e-09,0.9999998960045545,-4.914079580838613,-0.05794887452109121,-7.868075946847975,-0.0026892058433597233,0.22801423603719642,-1.9842371074823955e-05
0.004,0.005,0.9999998023695643,6.82269118479933e-09,0.0006286977255631057,-4.780774943716722e-08,-9.560697673632766e-08,-9.560697673632766e-08,-0.01183489736437066,0.9999299684196064,-0.011834621090892046,0.0,0.011834621090892046,0.9999299684196064,0.0,0.0,0.0,1.0,0.9999291790847745,-0.011834525473529896,0.0012573073074520446,0.011834516135162024,0.9999299695512762,1.4867091251481328e-05,-0.0012573952026272528,1.3585266426184921e-08,0.9999992094783396,-3.461249203514104,-0.04102746982438731,-8.724773246659474,-0.004737702113259555,0.40063966174824195,-2.796518656290662e-05
0.006,0.0075,0.9999993322992751,1.1685892675684311e-08,0.0011555955167787803,-7.731927892343298e-08,-1.5461185920188056e-07,-1.5461185920188056e-07,-0.01186412362022127,0.9999296221108854,-0.011863845294923195,0.0,0.011863845294923195,0.9999296221108854,0.0,0.0,0.0,1.0,0.9999269533311284,-0.011863690640345153,0.002311027113133273,0.011863659008376312,0.9999296239458003,2.739604574908584e-05,-0.002311189490375438,2.3193070121841614e-08,0.9999973291980029,-2.3342917194057033,-0.02783797247842248,-9.546778719385976,-0.0062461794518150655,0.5268609826536609,-2.9510983402102182e-05
0.008,0.01,0.9999984336696927,1.7277490654425084e-08,0.0017699316796095435,-1.0504913770330281e-07,-2.1003810232235034e-07,-2.1003810232235034e-07,-0.011893302618499966,0.999929275510087,-0.011893022234590924,0.0,0.011893022234590924,0.999929275510087,0.0,0.0,0.0,1.0,0.9999230131348474,-0.011892812090347772,0.0035396078753669406,0.011892737699112966,0.9999292780094913,4.2064683379969755e-05,-0.003539857814627452,3.418306759086218e-08,0.9999937346836985,-1.4639556543306154,-0.017590327086682456,-10.231152934302395,-0.007300728476009597,0.6142934475978237,-2.7729148807050285e-05
0.01,0.012499999999999999,0.9999970245616319,2.3618626406854304e-08,0.0024394400722286646,-1.2965322363514386e-07,-2.5919352812539774e-07,-2.5919352812539774e-07,-0.011922457859057692,0.9999289283411789,-0.011922175408100302,0.0,0.011922175408100302,0.9999289283411789,0.0,0.0,0.0,1.0,0.9999170305414034,-0.011921916005629194,0.004878519449281364,0.011921774341496666,0.9999289314340056,5.811882553270003e-05,-0.004878865627656276,4.660454972371577e-08,0.9999880982642669,-0.8000152940912912,-0.009720032168457087,-10.741406369101895,-0.007975659800198256,0.6694623805767291,-2.460379286705099e-05
0.012,0.015,0.9999950780526505,3.0822139918684474e-08,0.003137494294773291,-1.5094052500659778e-07,-3.0169209523007334e-07,-3.0169209523007334e-07,-0.011951608293505769,0.9999285803797425,-0.011951323765709098,0.0,0.011951323765709098,0.9999285803797425,0.0,0.0,0.0,1.0,0.9999088976504374,-0.011951021714309722,0.006274510297324262,0.011950786806533565,0.999928583989867,7.493146448483717e-05,-0.00627495770439243,6.069682635535262e-08,0.9999803122590987,-0.3025800602282269,-0.003762805668228139,-11.077187302717894,-0.00833547460338861,0.698007182063103,-2.1288507632238315e-05
0.014,0.017499999999999998,0.9999926181710831,3.8659821695289975e-08,0.0038423434662492478,-1.69367749462446e-07,-3.3844590317291725e-07,-3.3844590317291725e-07,-0.011980768228761561,0.9999282314547948,-0.01198048161328814,0.0,0.01198048161328814,0.9999282314547948,0.0,0.0,0.0,1.0,0.9998987104218621,-0.011980142607532048,0.007684079632623678,0.01197978945151063,0.9999282355164781,9.198695591293232e-05,-0.007684630205467372,7.601753449911975e-08,0.9999704727933717,0.0848434029253894,0.0012222513494314926,-8.862923487848363,-0.008436608369255893,0.7048029865269124,-1.8430298103047064e-05
0.016,0.02,0.9999896882621581,4.329715849364962e-08,0.004541295995238826,-1.847818038259439e-07,-3.6918177392805054e-07,-3.6918177392805054e-07,-0.01200994766761116,0.9999278814453749,-0.012009658952867394,0.0,0.012009658952867394,0.9999278814453749,0.0,0.0,0.0,1.0,0.9998866421148934,-0.012009289026499774,0.009081844376615219,0.012008794453680052,0.9999278858883128,0.00010898944206541568,-0.009082498333186119,8.49151263179883e-08,0.9999587532613635,0.14253998899159637,0.0019580012835372666,-8.739593138736618,-0.008389567330143444,0.6989083324861493,-1.5405162850272288e-05
0.018000000000000002,0.022500000000000003,0.9999863457202433,4.485482953805624e-08,0.0052257413859948774,-1.990433618846292e-07,-3.9763420619008447e-07,-3.9763420619008447e-07,-0.012039153169612214,0.9999275302708065,-0.012038862343483817,0.0,0.012038862343483817,0.9999275302708065,0.0,0.0,0.0,1.0,0.9998729222695235,-0.01203846382227797,0.010450583763749986,0.012037807236321484,0.9999275350688128,0.00012573046226096156,-0.010451340064537965,8.76281358877144e-08,0.9999453832539293,0.14902327142163851,0.0020619421731863973,-8.67172664335294,-0.008238430197520687,0.6844039830931702,-1.423939413665253e-05
