count,phase,quat_w,quat_x,quat_y,quat_z,yaw,yaw_unwrapped,yaw_fit_line,lin_acc_local_x,lin_acc_local_y,lin_acc_local_z,ang_vel_local_x,ang_vel_local_y,ang_vel_local_z,ang_acc_local_x,ang_acc_local_y,ang_acc_local_z,lin_vel_world_x,lin_vel_world_y,lin_vel_world_z,lin_acc_world_x,lin_acc_world_y,lin_acc_world_z,ang_vel_world_x,ang_vel_world_y,ang_vel_world_z,ang_acc_world_x,ang_acc_world_y,ang_acc_world_z,left_foot_z,right_foot_z
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.022811840907079724,0.0001408155939302999,6.298646782484686e-07,0.006172689232744345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001408155939302999,6.298646782484686e-07,-9.803827310767256,0.0,0.0,0.0,0.0,0.0,0.0,0.036136247577825256,0.036136247577825256
0.002,0.0025,1.0,0.0,0.0,0.0,0.0,0.0,-0.02281277431523982,-6.784215499127811,0.00023933343615716924,2.615940541580631,2.7706081795997666e-06,0.22803009375084235,-1.984237276523889e-05,0.0013853040897998832,114.01504687542118,-0.009921186382619445,-0.01356782359777215,4.787111880390623e-07,-0.01438834916180753,-6.784215499127811,0.00023933343615716924,-7.194059458419369,2.7706081795997666e-06,0.22803009375084235,-1.984237276523889e-05,0.0013853040897998832,114.01504687542118,-0.009921186382619445,0.036136247577825256,0.036136247577825256
0.004,0.005,0.999999974001138,2.766901594491762e-09,0.00022803009177471312,-1.9842372311543363e-08,-3.9683485844581274e-08,-3.9683485844581274e-08,-0.02281370772339992,-4.915306370280455,6.727466328783127e-05,1.9396825794026564,4.0633138617239945e-06,0.40066767322873437,-2.7965565533179406e-05,0.0006463528410621139,86.31878973894601,-0.004061596383970258,-0.023396235328675623,6.137477599403416e-07,-0.03012471482682876,-4.9144212471381135,6.745896838414807e-05,-7.868075946847975,4.066460358008719e-06,0.4006676732287278,-2.7965202150283557e-05,0.0006479260892044761,86.31878973894273,-0.004061414692522333,0.036089609964538805,0.03608960876650195
0.006,0.0075,0.9999998023695643,6.82269118479933e-09,0.0006286977255631057,-4.780774943716722e-08,-9.560697673632766e-08,-9.560697673632766e-08,-0.022814641131560013,-3.462854173844722,-6.23400399482039e-05,1.080873431569643,4.869076708170225e-06,0.5268980069963749,-2.9512087066561295e-05,0.0004028814232231153,63.115166883820265,-0.0007732607666909442,-0.030318906020224985,4.898543524715106e-07,-0.04757443462252303,-3.4614923513219353,-6.202378109464724e-05,-8.724773246659474,4.882348628364545e-06,0.5268980069963113,-2.9511028040506826e-05,0.00040794413517791295,63.11516688379173,-0.0007729129451116344,0.03600772584197934,0.03600772288083483
0.008,0.01,0.9999993322992751,1.1685892675684311e-08,0.0011555955167787803,-7.731927892343298e-08,-1.546118592018805e-07,-1.546118592018805e-07,-0.02281557453972011,-2.3350598216417926,-0.0001426924235042756,0.25782520349822613,5.589715139338803e-06,0.614336829733147,-2.7730631709168987e-05,0.0003603192155842889,43.71941136838603,0.000890727678696154,-0.03498757838901669,2.053398686392464e-07,-0.06666811821161095,-2.334457702280723,-0.00014233746843269428,-9.546778719385976,5.620626155911304e-06,0.614336829732928,-2.7729228179856227e-05,0.0003691387637733797,43.71941136830837,0.0008908999303252993,0.03590297005233449,0.03590296495417389
0.01,0.012499999999999999,0.9999984336696925,1.7277490654425084e-08,0.0017699316796095437,-1.0504913770330282e-07,-2.1003810232235034e-07,-2.1003810232235034e-07,-0.022816507947880208,-1.462561324614506,-0.00017854795448028098,-0.42633286454084596,6.327327885437736e-06,0.6695098879901907,-2.4604544197884022e-05,0.0003688063730494666,27.586529128521885,0.0015630437556424827,-0.037915500893401045,-1.509660685674753e-07,-0.08713050667598854,-1.4640613189648641,-0.00017822587236273384,-10.231152934302395,6.380895254378253e-06,0.6695098879897056,-2.4603901981939213e-05,0.0003801345492334743,27.58652912838877,0.0015626630989585067,0.03578567944366216,0.03578567185297861
0.012,0.015,0.9999970245616319,2.3618626406854304e-08,0.0024394400722286646,-1.2965322363514386e-07,-2.591935281253976e-07,-2.591935281253976e-07,-0.022817441356040306,-0.7955205907659846,-0.00018166964810878607,-0.9352987388382311,7.176540816642794e-06,0.6980569506115705,-2.1286409368739915e-05,0.00042460646560252903,14.273531310689869,0.0016590674145720535,-0.03951547758995007,-5.136995277356224e-07,-0.10861336713204023,-0.800074319605743,-0.00018141868432775714,-10.741406369101897,7.253692440425361e-06,0.6980569506107048,-2.1288636771971923e-05,0.00043639859302355393,14.273531310499632,0.001657632604983645,0.035662997849013486,0.03566298738700077
0.014,0.017499999999999998,0.9999950780526504,3.0822139918684474e-08,0.0031374942947732915,-1.5094052500659778e-07,-3.016920952300734e-07,-3.016920952300734e-07,-0.0228183747642004,-0.2946459162340469,-0.00014647298780339786,-1.2690611783188097,7.799104682128711e-06,0.7048534784743655,-1.8424643197494294e-05,0.0003112819327429584,3.398263931397527,0.0014308830856228103,-0.04012053515634577,-8.062454931731995e-07,-0.1307677651827848,-0.30260342058403644,-0.00014630466524091285,-11.077187302717894,7.896254464187384e-06,0.7048534784731324,-1.8430437140716384e-05,0.0003212810118810117,3.3982639312137852,0.0014290998156277694,0.03553871682295966,0.03553870304269163
0.016,0.02,0.9999926181710831,3.8659821695289975e-08,0.0038423434662492478,-1.69367749462446e-07,-3.3844590317291715e-07,-3.3844590317291715e-07,-0.022819308172360497,0.07757151871455316,0.00020579956326163576,0.9477006035233322,4.586406943839048e-06,0.6989586840700613,-1.54236431045091e-05,-0.0016063488691448315,-2.947397202152091,0.001500500046492597,-0.03995079662537098,-3.947485899442328e-07,-0.14849345588073978,0.08485195699760989,0.00020569880147384406,-8.862923487848363,4.704714549888831e-06,0.6989586840696792,-1.5405299412867623e-05,-0.0015957699571492766,-2.947397201726598,0.0015125688639243805,0.03541359944031977,0.03541358200315921
0.018000000000000002,0.022500000000000003,0.9999896882621581,4.329715849364962e-08,0.004541295995238826,-1.847818038259439e-07,-3.691817739280503e-07,-3.691817739280503e-07,-0.022820241580520595,0.13282537566159958,0.0002461470521136808,1.0716574498702742,1.503420959982162e-06,0.6844535658482366,-1.4284592120728431e-05,-0.001541492991928443,-7.252559110912382,0.0005695254918903345,-0.039665664118363315,9.730993563039066e-08,-0.16597255062793217,0.14255322414125865,0.00024600342038019876,-8.739593138736618,1.6268348470199566e-06,0.6844535658488928,-1.4239537285251007e-05,-0.001538939851434437,-7.252559110393186,0.0005828810638083079,0.03528359584732078,0.03528357613795899
