count,phase,cycle_id,heading_source_cycle_id,heading_yaw,heading_concentration,heading_fallback,linear_velocity_H_x,linear_velocity_H_y,linear_velocity_H_z,acc_H_x,acc_H_y,acc_H_z,omega_H_x,omega_H_y,omega_H_z,alpha_H_x,alpha_H_y,alpha_H_z,quat_H_B_w,quat_H_B_x,quat_H_B_y,quat_H_B_z,left_foot_z,right_foot_z
0.0,0.0,0,0,-0.017324021552622283,0.9999624572119901,1,0.0,0.0,0.0,0.0001407835523060025,3.0691405244916e-06,-9.803827310767256,0.0,0.0,0.0,0.0,0.0,0.0,0.9999624850192202,0.0,0.0,0.008661902457650974,0.036136247577825256,0.036136247577825256
0.002,0.0025,0,0,-0.017324021552622283,0.9999624572119901,1,-0.013565795942184287,-0.00023455887202049263,-0.01438834916180753,-6.7832016253776555,-0.11728471921114884,-7.194059458419369,-0.00394743046926594,0.22799592421002735,-1.984237276523889e-05,-1.9737152346329703,113.99796210501368,-0.009921186382619445,0.9999624850192202,0.0,0.0,0.008661902457650974,0.036136247577825256,0.036136247577825256
0.004,0.005,0,0,-0.017324021552622283,0.9999624572119901,1,-0.023392735189303005,-0.00040468295565873646,-0.03012471482682876,-4.913684971898614,-0.08506583221812745,-7.868075946847975,-0.006936762361920023,0.40060762064018823,-2.7965202150283557e-05,-1.4946659463270413,86.30584821508043,-0.004061414692522333,0.9999624591932063,-1.972407614567533e-06,0.0002280215611968347,0.00866188239082344,0.036089609964538805,0.03608960876650195
0.006,0.0075,0,0,-0.017324021552622283,0.9999624572119901,1,-0.03031436493868148,-0.0005247293279694277,-0.04757443462252303,-3.460971855341471,-0.06002598305257284,-8.724773246659474,-0.009122654235289882,0.5268190267826567,-2.9511028040506826e-05,-1.09294593668493,63.105703071234245,-0.0007729129451116344,0.9999622878103046,-5.438895938942971e-06,0.0006286741990775004,0.008661852939839487,0.03600772584197934,0.03600772288083483
0.008,0.01,0,0,-0.017324021552622283,0.9999624572119901,1,-0.03498233181130908,-0.0006058899349097645,-0.06666811821161095,-2.334104934574273,-0.040582488757802834,-9.546778719385976,-0.010636632348974944,0.6142447414916702,-2.7729228179856227e-05,-0.7569890568425307,43.71285735450676,0.0008908999303252993,0.9999618180132759,-9.997970192556912e-06,0.0011555522658572414,0.008661819357714127,0.03590297005233449,0.03590296495417389
0.01,0.012499999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,-0.03790980878776591,-0.0006569670427905076,-0.08713050667598854,-1.463838538722447,-0.025540360305406178,-10.231152934302395,-0.011591643634688856,0.6694095338091252,-2.4603901981939213e-05,-0.4775056428569559,27.582396158727473,0.0015626630989585067,0.9999609196575988,-1.531369872299452e-05,0.00176986543031254,0.008661783845053844,0.03578567944366216,0.03578567185297861
0.012,0.015,0,0,-0.017324021552622283,0.9999624572119901,1,-0.039509539112750444,-0.0006850463661505977,-0.10861336713204023,-0.7999511200228696,-0.01404120292169019,-10.741406369101897,-0.012085296159424289,0.697952327860056,-2.1288636771971923e-05,-0.24682626236771632,14.271397025465399,0.001657632604983645,0.9999595108155191,-2.1106574216575196e-05,0.002439348761263479,0.008661747036334362,0.035662997849013486,0.03566298738700077
0.014,0.017499999999999998,0,0,-0.017324021552622283,0.9999624572119901,1,-0.04011450081813822,-0.0006958203742319515,-0.1307677651827848,-0.30255547833136515,-0.005388328673455501,-11.077187302717894,-0.012202390999533168,0.7047478469863672,-1.8430437140716384e-05,-0.05854742005443955,3.397759563155555,0.0014290998156277694,0.9999575645639496,-2.7145848559135977e-05,0.003137376858713495,0.008661708889360653,0.03553871682295966,0.03553870304269163
0.016,0.02,0,0,-0.017324021552622283,0.9999624572119901,1,-0.039944794886061216,-0.000692468532192987,-0.14849345588073978,0.08483566100607921,0.0016755715391404402,-8.862923487848363,-0.01210346562331288,0.6988538818511759,-1.5405299412867623e-05,0.04946268811014403,-2.946982567595617,0.0015125688639243805,0.9999551049342792,-3.3243345942070685e-05,0.003842199655675565,0.008661669155573298,0.03541359944031977,0.03541358200315921
0.018000000000000002,0.022500000000000003,0,0,-0.017324021552622283,0.9999624572119901,1,-0.039659713689219174,-0.0006870371528861261,-0.16597255062793217,0.14252757146126996,0.0027154381052335746,-8.739593138736618,-0.011855268629736092,0.6843508869078991,-1.4239537285251007e-05,0.12409849678839437,-7.2514974716383875,0.0005828810638083079,0.9999521752687848,-3.9292967407878126e-05,0.004541126003642613,0.008661628363511874,0.03528359584732078,0.03528357613795899
0.02,0.024999999999999998,0,0,-0.017324021552622283,0.9999624572119901,1,-0.039361673097326355,-0.0006813378398331559,-0.18331596410437886,0.14901029328660576,0.0028494780877673796,-8.671726643352939,-0.01149087928366152,0.663154946540847,-1.4777847700414886e-05,0.1821946730372861,-10.59797018352605,-0.0002691552075819393,0.9999488329757973,-4.522000900758743e-05,0.00522554573093538,0.008661585149716811,0.03514244615285668,0.03514242550168785
0.022,0.027499999999999997,0,0,-0.017324021552622283,0.9999624572119901,1,-0.04033978742652222,-7.707936179590083e-05,-0.20620102208803795,-0.48912164594654317,0.3021133806164468,-11.442667692552764,0.01278809860540718,0.6072099739687863,-0.017070997495432366,12.13948894453435,-27.97248628603034,-8.528109823865975,0.9999451472959338,-5.09662471080252e-05,0.0058887650776429205,0.008661538409282465,0.03498404278022046,0.03498402242304874
0.024,0.03,0,0,-0.017324021552622283,0.9999624572119901,1,-0.04066823683184224,-0.0004179788671158442,-0.19142574996454417,-0.16429594813573598,-0.17044277258667637,7.3877116556386415,0.04273001847610162,0.5634627868452681,-0.06508826930816114,14.970959935347219,-21.87359356175913,-24.008635906364386,0.9999415355482137,-3.27285887188645e-05,0.006495828000474111,0.008644572453759698,0.034805700445759556,0.03481378165402621
0.026000000000000002,0.0325,0,0,-0.017324021552622283,0.9999624572119901,1,-0.040836708335907614,-0.0015188861330925453,-0.1781475322859231,-0.08430500496818465,-0.5504389140913015,6.63917579017477,0.07847033428082636,0.5142854349804762,-0.11543410585161876,17.870157902362383,-24.588675932395894,-25.172918271728808,0.9999382777522782,1.5399281720441595e-05,0.007058880320169728,0.008579781890910475,0.03467080534503982,0.034689042242713006
0.028,0.034999999999999996,0,0,-0.017324021552622283,0.9999624572119901,1,-0.040897430707355194,-0.005360333009365709,-0.1718569869458826,-0.030411874391492136,-1.9207120036410175,3.1453475894302336,0.13966332486631117,0.45778299097954733,-0.16063724908081758,30.5964952927424,-28.25122200046446,-22.601571614599415,0.9999354948065824,9.919108287584816e-05,0.007572441640275094,0.008464898974532332,0.03457739740960279,0.03460410993962817
0.03,0.0375,0,0,-0.017324021552622283,0.9999624572119901,1,-0.040898255935818965,-0.009087574931859051,-0.1666016009104775,-0.00046433913691310696,-1.8636058259390589,2.6277518627982843,0.19768973537318718,0.3961482711302973,-0.20224368514482616,29.013205253438,-30.817359924625002,-20.803218032004285,0.9999332469729779,0.000244023140021692,0.008028968356085528,0.00830528253112505,0.03451805678740046,0.03453413540549789
0.032,0.04,0,0,-0.017324021552622283,0.9999624572119901,1,-0.040688980780031136,-0.012857319350885986,-0.16242615031476,0.1045909603716004,-1.8848607800804058,2.087771439508545,0.25282170385027264,0.3296525627256215,-0.23668363100669298,27.56598423854272,-33.24785420233792,-17.219972930933412,0.9999315795910462,0.0004466839937375254,0.00842336151882958,0.008104541361985077,0.03449060747368442,0.03447730427290605
0.034,0.0425,0,0,-0.017324021552622283,0.9999624572119901,1,-0.04016993231339098,-0.015044959269642265,-0.15506283686761937,0.25947325741684546,-1.0938124225917059,3.6816761593401104,0.28658813451061166,0.26118107943630686,-0.264413616510603,16.88321533016952,-34.23574164465731,-13.864992751955018,0.9999304941396102,0.0007042087288583175,0.008750792193800556,0.007869854875538668,0.03449242032335961,0.034431458633937026
0.036000000000000004,0.045000000000000005,0,0,-0.017324021552622283,0.9999624572119901,1,-0.03939098026986716,-0.01740833702672103,-0.1491754348956968,0.38943629630309395,-1.1816818580565893,2.9437180732552584,0.31978219879157127,0.1883788657918093,-0.28658185829152805,16.59703214047982,-36.401106822248785,-11.084120890462511,0.9999299779269158,0.000995186299458513,0.00900946697593792,0.0076077823389391905,0.03452431122882872,0.03441136157643986
0.038,0.047499999999999994,0,0,-0.017324021552622283,0.9999624572119901,1,-0.03840828961087238,-0.019882484310537178,-0.1444690578681435,0.4913161857450731,-1.2370668595654177,2.353204662847469,0.3519527471009259,0.11230671953644548,-0.3036719645625731,16.08527415467728,-38.0360731276819,-8.545053135522535,0.9999300331977063,0.0013189868194351643,0.009195068289175828,0.007323913036194874,0.034582580956754844,0.0344116644176851
0.04,0.049999999999999996,0,0,-0.017324021552622283,0.9999624572119901,1,-0.037251353443681086,-0.022383264460584817,-0.14068752819822916,0.5784484798448709,-1.2503812228998799,1.8907810838367247,0.3827211861831744,0.033894402812909376,-0.31724258905067826,15.384219541124285,-39.20615836176806,-6.785312244052571,0.9999306464175859,0.0016745428038430073,0.009304344382231877,0.007023349409223801,0.03466368707971461,0.03442756504741343
0.042,0.0525,0,0,-0.017324021552622283,0.9999624572119901,1,-0.0332207982931416,-0.016431755733293876,-0.13532605754067087,2.0152916140591586,2.9759091240897737,2.6807414788756674,0.3056302819408906,0.03589294009548127,-0.2812723632960352,-38.545452121141935,0.999268641285946,17.98511287732152,0.9999317945194487,0.002060430120671623,0.00933497585600714,0.006709632076403333,0.034764299262899576,0.034454822684271164
0.044,0.05499999999999999,0,0,-0.017324021552622283,0.9999624572119901,1,-0.028666100640688554,-0.013807073633740105,-0.13170871928626174,2.2773822152194514,1.3123216707789414,1.8086821140955749,0.23861387359959585,0.029512628749890718,-0.1644207777201532,-33.508204170647346,-3.190155672795273,58.425792787941006,0.9999326293073583,0.002368897163255025,0.009368318081347669,0.006431157674178196,0.03491165473808146,0.034476653782378464
0.046,0.057499999999999996,0,0,-0.017324021552622283,0.9999624572119901,1,-0.023861704620010527,-0.011515171952638407,-0.12919035992269556,2.4022364393643545,1.1459034198399465,1.2591987948956547,0.1760147495619454,0.01722175332304006,-0.037870860225677094,-31.29956201882522,-6.145437713425331,63.27495874723805,0.9999328017038296,0.002609214305115641,0.009395999181053176,0.006268913528640665,0.03509334951714496,0.03449142705415575
