qa,qalpha,samples,acceptable,right_acc_rms,right_acc_rms_std,right_alpha_rms,right_alpha_rms_std,right_tilt_rms,right_tilt_rms_std,right_tilt_std,right_tilt_std_std,left_acc_rms,left_acc_rms_std,left_alpha_rms,left_alpha_rms_std,left_tilt_rms,left_tilt_rms_std,walk_distance_xy,walk_distance_xy_std,qp_success,qp_success_std,fallback_fraction,fallback_fraction_std,q_safety_violation_fraction,q_safety_violation_fraction_std,recovery_active_fraction,recovery_active_fraction_std,ddq_saturation_any_fraction,ddq_saturation_any_fraction_std,tau_saturation_any_fraction,tau_saturation_any_fraction_std,arm_interval_mean_ms,arm_interval_mean_ms_std,arm_interval_p99_ms,arm_interval_p99_ms_std,arm_interval_max_ms,arm_interval_max_ms_std,arm_interval_overrun_fraction,arm_interval_overrun_fraction_std,acc_improvement_pct,alpha_improvement_pct,tilt_change_pct
0.05,0.0001,1,True,2.2680426514708176,0.0,6.901828192902343,0.0,0.023145952871595085,0.0,0.013934726953630175,0.0,2.087366150180524,0.0,9.854901193009175,0.0,0.7231058524601448,0.0,4.764367853752669,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.14071294559099437,0.0,0.07384615384615385,0.0,0.0,0.0,3.2994511782025673,0.0,4.088481450253311,0.0,5.474850000609877,0.0,0.0,0.0,22.55178861868817,-5.864829129235581,53.18504465234527
0.05,0.0003,1,True,2.2741191711243696,0.0,6.768548061620421,0.0,0.023523840987354973,0.0,0.01398308848315888,0.0,2.0884626808312934,0.0,9.831796477199854,0.0,0.7209904087402015,0.0,4.75972410890741,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.3151969981238274,0.0,0.07615384615384616,0.0,0.0,0.0,3.287432192323641,0.0,4.093069400823878,0.0,4.609276003975538,0.0,0.0,0.0,22.3442900611607,-3.8204898715599405,55.68599193273606
0.05,0.001,1,True,2.2821362446033775,0.0,6.330900402829008,0.0,0.024844040317231513,0.0,0.014067366546111279,0.0,2.0844055098899723,0.0,9.835628525730137,0.0,0.7238443305871844,0.0,4.766519335330151,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09193245778611632,0.0,0.08269230769230769,0.0,0.0,0.0,3.2659275572204014,0.0,4.05090075037151,0.0,5.231396999079152,0.0,0.0,0.0,22.070526249417977,2.8924408653148164,64.42336362009132
0.04,0.0003,1,True,2.2998734085325587,0.0,6.5556848744983744,0.0,0.022401999737460584,0.0,0.013626995416454256,0.0,2.0771937272230447,0.0,9.800151322090333,0.0,0.7223773548193924,0.0,4.764153483821296,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.04127579737335835,0.0,0.0675,0.0,0.0,0.0,3.296580762707037,0.0,4.2792338008439375,0.0,5.42502500138653,0.0,0.0,0.0,21.464844685007645,-0.555452796925998,48.26139796975389
0.05,0.0015,1,True,2.3069912696485693,0.0,6.1034787182402495,0.0,0.026104138481895883,0.0,0.014965485486007773,0.0,2.085974304272948,0.0,9.82384964167358,0.0,0.7182842203274812,0.0,4.755421162797476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6529080675422139,0.0,0.0876923076923077,0.0,0.0,0.0,3.376514130377302,0.0,4.296595299092583,0.0,5.1961540048068855,0.0,0.0,0.0,21.22178681661257,6.380785852521383,72.76297247919929
0.04,0.0001,1,True,2.310933161164146,0.0,6.793122611438946,0.0,0.021232941362853343,0.0,0.013143826555702726,0.0,2.0823730178322815,0.0,9.812744880512952,0.0,0.7231867358478462,0.0,4.762999484187061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10318949343339587,0.0,0.06403846153846154,0.0,0.0,0.0,3.309289232656158,0.0,4.12840324879653,0.0,5.440851999082952,0.0,0.0,0.0,21.087180685135017,-4.197430653734359,40.524310613321056
0.04,0.0005,1,True,2.323861777138709,0.0,6.49798337218306,0.0,0.021997578591064337,0.0,0.013139352912005514,0.0,2.0836444643793373,0.0,9.843240417902768,0.0,0.7248517114725959,0.0,4.765690026227134,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.07035647279549719,0.0,0.07211538461538461,0.0,0.0,0.0,3.2709586659730188,0.0,4.100790200027404,0.0,5.037173999880906,0.0,0.0,0.0,20.645699488907766,0.32961120530356147,45.58484921357418
0.04,0.001,1,True,2.353653008806772,0.0,6.394413298718222,0.0,0.022780400587231926,0.0,0.013180388988832044,0.0,2.074829683815348,0.0,9.81518652245615,0.0,0.7230869026872695,0.0,4.76371646304112,0.0,0.9934333958724203,0.0,0.006566604127579738,0.0,0.0,0.0,0.0300187617260788,0.0,0.07557692307692308,0.0,0.0,0.0,3.2682992147986867,0.0,3.9882901507553457,0.0,4.900661999272415,0.0,0.0,0.0,19.62840045088415,1.9182378450586621,50.765738637441146
0.04,0.0015,1,True,2.3567819785582866,0.0,6.091883719954085,0.0,0.023825084754136156,0.0,0.013649017746452174,0.0,2.0900395558984552,0.0,9.842480796138537,0.0,0.7259755584529478,0.0,4.7647631875507725,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05628517823639775,0.0,0.08134615384615385,0.0,0.0,0.0,3.258304316204032,0.0,3.938514451692749,0.0,4.692357004387304,0.0,0.0,0.0,19.521553645968964,6.558637644540911,57.67968992916838
0.04,0.002,1,True,2.3619426283590825,0.0,5.98415509621516,0.0,0.024405695094784984,0.0,0.013109100804501408,0.0,2.085868813309829,0.0,9.836848565592348,0.0,0.7238757028266563,0.0,4.7646972492169155,0.0,0.99812382739212,0.0,0.001876172607879925,0.0,0.0,0.0,0.008442776735459663,0.0,0.08673076923076924,0.0,0.0,0.0,3.216761484029844,0.0,4.013870651397152,0.0,4.680076001022826,0.0,0.0,0.0,19.34532984507273,8.211050892986778,61.5222978119077
0.04,0.003,1,True,2.3771805675330726,0.0,5.829134591456091,0.0,0.026376136287178543,0.0,0.014333362340926123,0.0,2.088682876477074,0.0,9.836904783115765,0.0,0.725907587338338,0.0,4.766108319122133,0.0,0.9971857410881801,0.0,0.0028142589118198874,0.0,0.0,0.0,0.0150093808630394,0.0,0.09538461538461539,0.0,0.0,0.0,3.3843852870546645,0.0,4.183644900786021,0.0,5.604156000117655,0.0,0.0,0.0,18.824990805858704,10.588858451964198,74.56311422228116
0.03,0.0001,1,True,2.3774501815951368,0.0,6.69480909788854,0.0,0.020184035368692343,0.0,0.012546961230028417,0.0,2.076618449252259,0.0,9.829199486517815,0.0,0.7281617417705099,0.0,4.768826503753591,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.017823639774859287,0.0,0.0475,0.0,0.0,0.0,3.2354958209081754,0.0,4.1592789993956085,0.0,5.7514279997121776,0.0,0.0,0.0,18.815784132934553,-2.689432624485854,33.582418333360124
0.03,0.0005,1,True,2.385420445543686,0.0,6.372983707799683,0.0,0.020582352903849053,0.0,0.012184806768298322,0.0,2.071926029465566,0.0,9.797118283442629,0.0,0.7259455636335691,0.0,4.7694748967570995,0.0,0.9971857410881801,0.0,0.0028142589118198874,0.0,0.0,0.0,0.013133208255159476,0.0,0.05961538461538462,0.0,0.0,0.0,3.261457766539485,0.0,4.126151501077401,0.0,5.820964999657008,0.0,0.0,0.0,18.543618754275656,2.246939156869568,36.21857203795322
0.03,0.0003,1,True,2.3887269595226965,0.0,6.579706577885445,0.0,0.02027959373758816,0.0,0.012436264914033063,0.0,2.078011773518644,0.0,9.789363477298673,0.0,0.7285506746503394,0.0,4.767569031477222,0.0,0.99906191369606,0.0,0.0009380863039399625,0.0,0.0,0.0,0.03283302063789869,0.0,0.05423076923076923,0.0,0.0,0.0,3.2293258115047516,0.0,4.008669300765174,0.0,5.654472997775883,0.0,0.0,0.0,18.43070924024354,-0.923913653004772,34.21484479199061
0.03,0.0,1,True,2.3918365498797187,0.0,6.785932936234671,0.0,0.020292370626433395,0.0,0.01233699701627039,0.0,2.0713363040289416,0.0,9.790178609155136,0.0,0.7318460989685062,0.0,4.772335216747104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.017823639774859287,0.0,0.04692307692307692,0.0,0.0,0.0,3.178839977507612,0.0,3.9611012004570494,0.0,4.903029001070536,0.0,0.0,0.0,18.324524195123793,-4.0871506357852,34.29940507339849
0.03,0.001,1,True,2.4066087012244064,0.0,6.191900109717773,0.0,0.02094284904179075,0.0,0.011893767751082678,0.0,2.0794013898021606,0.0,9.825243449305086,0.0,0.7326669735494509,0.0,4.775228100794588,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010318949343339587,0.0,0.06692307692307692,0.0,0.0,0.0,3.214780441861975,0.0,3.9613701021153243,0.0,5.778679998911684,0.0,0.0,0.0,17.820090692006833,5.024519767868103,38.604415355528054
0.03,0.0015,1,True,2.418038064986906,0.0,5.976132932107184,0.0,0.022155612874426807,0.0,0.012757549881317396,0.0,2.084710659574094,0.0,9.840787319271355,0.0,0.729441134488781,0.0,4.772013318866119,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004690431519699813,0.0,0.07230769230769231,0.0,0.0,0.0,3.268897673571076,0.0,4.17318010040617,0.0,5.230279999523191,0.0,0.0,0.0,17.42980535938403,8.334100179176037,46.63075511720152
0.03,0.002,1,True,2.422826533235719,0.0,5.813932345255631,0.0,0.022840008211173792,0.0,0.012986913323967633,0.0,2.0850430740255916,0.0,9.842447148032178,0.0,0.7265037714622267,0.0,4.769462713300985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006566604127579738,0.0,0.0751923076923077,0.0,0.0,0.0,3.239643523410131,0.0,4.168295551426125,0.0,5.88968199917872,0.0,0.0,0.0,17.26629066494641,10.822040610576517,51.16023510020551
0.03,0.003,1,True,2.440283993408457,0.0,5.662808367451936,0.0,0.024355493201985014,0.0,0.013692778009236245,0.0,2.0837509674802956,0.0,9.852818531655108,0.0,0.7346481792630561,0.0,4.777099747073231,0.0,0.9971857410881801,0.0,0.0028142589118198874,0.0,0.0,0.0,0.00375234521575985,0.0,0.08826923076923077,0.0,0.0,0.0,3.301628481213294,0.0,4.0055373501672875,0.0,5.593112999122241,0.0,0.0,0.0,16.670160312299718,13.1400806487176,61.190050561908635
